Municipalities,demography_0,demography_1,demography_2,demography_3,employment,mobility_0,mobility_1,mobility_2,mobility_3,mobility_4,mobility_5,mobility_6,mobility_7,mobility_8,ChronicDisease_0,ChronicDisease_1,Avg. PI. per person by household position
Breda,3.9910333984381143,3.968372754225041,0.8150507447999874,-0.27795426837312737,5.474146605279769,2.3189733133935295,-0.3733051801056316,0.8533956412434518,-0.7303397782291736,0.334064682138695,0.5561949207331635,-0.8388145328380143,-0.10278171762679823,0.27835266557051336,4.383668705267383,0.02279489684933513,0.2268268481774415
Brielle,-1.9769390776981532,1.1765482627313666,-0.02905413178657205,0.7733083735240814,-1.2551004423352716,-1.4261064273972988,0.4876755776686297,0.3019962049773615,0.5145672407246866,-1.5213516286051163,-1.3634229450351436,0.4644393924618453,-0.2007787618479656,0.6995283989085761,-1.0809945693257823,-0.06948679035036649,1.3172152463714186
Bronckhorst,-5.508038097005271,-0.5546486518745007,-0.4175027650092431,0.7876508762521297,-0.5809197992706173,-3.573309640873549,-1.4614554116494367,-1.0458212523837471,-1.2175626113835234,0.6931583677229548,-1.2554504170813103,0.17642315168594674,-0.19557608751552488,-0.320722680146619,-0.18931467316929226,-0.712678533814006,-0.4505356416097269
Brummen,-4.506855430803067,0.29023213682256216,0.12997115042174642,0.16917158738945565,-1.0733238732946075,-0.95869171160224,-0.7505431286647426,-0.4594414967956279,-0.16073899510323328,-0.19080483645863766,0.15420134215230413,0.7320885112989703,0.512597427540027,-1.790386207506873,-0.8414373088125863,-0.6242016724036962,-0.23576216923818624
Brunssum,-3.619960336709835,3.0547995398148435,0.7831152913973972,0.7237818543639563,-1.0775197625381718,0.3665919246944482,-0.9285048361086704,3.9931276559586,1.8075324121758365,-1.4349865492379603,0.8190547116712771,-1.3111686463289856,0.4781879801329842,1.267265128048435,-0.2304812351714013,-2.3240864929375094,-1.09485605872435
Bunnik,-0.2359647179251421,-2.801777720116124,1.8847482506326756,-0.017544819911821913,-0.95053491088257,1.7704549748477612,0.007192791419703127,-0.997879174931268,-0.4012431465882316,0.3896010024507329,0.3863918457885583,0.2759400424282037,0.991911478057904,-1.0244836571019789,-1.2185335301569726,0.2900167315156376,1.1189628103361506
Bunschoten,6.114770353226795,-3.4323969930287404,-0.6235457196976293,-1.1581763505247609,-0.8192327166237442,0.5453832813501509,0.5067867285515767,-0.1754152783238395,2.3667294760067668,-0.4747669284134272,-1.6781698870443698,0.7849274503764382,1.4989263787055604,1.6556300549739926,-1.0924020086003576,1.0869802273955995,0.1277006301598069
Buren,-0.8899805926501521,-1.6399457621627438,-2.2143694515773564,1.7512719096982632,-0.9649059876922444,-3.2004063093467705,-1.8427845853484142,0.5771496432099897,-0.2324435479456415,0.08494129648182619,-1.648053439142884,0.7923574167241946,1.266108974117174,0.4892391389284881,-0.7812373952307753,0.1895771128475984,0.3259530661950749
Capelle aan den IJssel,2.5888821841769323,1.7991828479502674,2.9141377725188384,0.636056826559892,0.43213979292951793,2.4411385844039,-0.3131663330801679,2.6759237941509553,-0.8872987200605504,0.27564901515668894,0.05728291147154621,0.26950836401323713,-1.2585031380042395,0.4392809036514732,0.8618654785483302,-0.3937387705711777,-0.08707284221173492
Castricum,-2.7618139640243693,-0.04398802792207651,1.3510275117503616,-0.3075740256060196,-0.7791795698973529,2.213042878121569,0.8965925495972537,-2.2288540847469145,0.6606388187261484,0.5254366643780629,0.9203822386235276,0.13316441515659985,0.7432022343786676,-0.9477197196691456,-0.6208885362833221,0.6803054317275485,0.9537524469734266
Coevorden,-3.0156636162823305,-0.2304738095527435,-0.0020528025712530282,0.0903153528104564,-0.5604038726760567,-3.2133337149995733,-1.1738713740197655,-0.5569531800859231,-0.8253135548610703,1.2128242090906498,-0.08205278704054239,-0.5113179363436167,-0.2529119143039354,0.417306302222742,-0.11338678367367908,-1.148564571717538,-0.6983511866538128
Cranendonck,-2.783821203380497,0.08007552815945528,-1.0995331789207812,-0.12031626714800232,-1.031109897256207,-1.9027987487133056,-1.0831004286608423,0.5287446500285947,1.0702076696833254,0.3856576175367151,-0.1346275876600807,-0.13122240675363106,-0.6797269193507046,0.3026847986168797,-1.0079080946679522,0.1178208567884792,-0.120114914884279
Cuijk,-0.6829201423999719,0.06722127445530644,-0.8896247165686659,0.438388402622495,-0.8956793421754609,0.0467529874730674,0.07567346052853625,-0.33247222149867434,0.8594478444323291,0.6739400192787458,0.6321598721131827,-0.8178499784742335,0.11567659817925165,-0.21505834271393745,-0.7507571631784972,-0.5687871874285974,-0.5992249686361782
Culemborg,1.96289518626086,-0.9461085891714544,-0.5778128715281504,1.1215149092599217,-0.8145751905238062,4.209327267032084,0.7361417771276243,-1.1959573085141817,-0.7321070365237461,-0.6114781153645059,-0.6246210931599151,-1.4438870266296742,0.01319591163693822,-1.3607991523888563,-0.7754471752270129,0.7174500822702622,0.2103058118411689
Dalfsen,0.033937703546524256,-2.7230871130226,-1.087301956047862,-0.4339619095730541,-0.7166334561068396,-3.634208682050767,-0.9130072896103906,-1.4494493921204488,-0.7624638564906399,1.0213962443909703,-0.3615809603255814,1.4836633356486513,-0.12840897524316222,-0.19624838435050132,-0.7244867001842029,0.8258376913427988,-0.2522832055744589
Dantumadiel,-0.08873633172094074,-1.8097303170956127,-0.4801058130732704,-0.977973674286554,-1.2869239015803329,-2.113614515751381,0.053167520417271484,-0.8813606824034586,0.02725944345805746,1.144933333727103,0.7155860058360766,0.468299288634568,0.7567340222644876,0.6056007837973029,-0.8410900978741254,-0.8685658172642734,-1.309629531095892
De Bilt,-1.2640010216401942,-0.9821233919866126,4.671205742824197,-0.032235772030417414,-0.38554157148989,1.6304140875272648,0.6092084719265376,-1.6452335820448114,0.1819613327289064,0.5646245479105656,0.40565605246640896,-0.06956942744913995,-0.057899279821356085,-0.953706765706627,-0.2399789919445684,0.4383847824408442,1.994577736158587
